Species,complete,single,duplicated,fragmented,missing
Actinia_tenebrosa,84.6,84.3,0.3,1.2,14.2
Anthopleura_dowii,78.1,77.6,0.5,10.8,11.1
Chironex_fleckeri,69.7,69.1,0.6,11.7,18.6
Chrysaora_fuscescens,40.1,39.8,0.3,19.9,40
Cyanea_capillata,57.7,57.3,0.4,21.9,20.4
Entacmea_quadricolor,91.3,89,2.3,4.4,4.3
Galaxea_fascicularis,84.8,78.1,6.7,3.2,12
Heteractic_macgnifica,91.6,89.9,1.7,2.5,5.9
Heteractis_aurelias,92.1,89.4,2.7,1.7,6.2
Heteractis_crispa,93.5,91.6,1.9,2.2,4.3
Heterodactyla,85.9,85.5,0.4,6.1,8
Hydra_vulgaris,93.3,89.7,3.6,2.4,4.3
Macrodactyla_doreensis,77.5,75.9,1.6,8.3,14.2
Nematostella_vectensis,75.7,73.8,1.9,3.5,20.8
Nemopilema_nomurai,90.2,90,0.2,1.7,8.1
Oulactis,90.5,90.3,0.2,0.9,8.6
Sanderia_malayensis,81.8,81.8,0,3.9,14.3
Stichidactyla_gigantea,92.2,90.7,1.5,2.5,5.3
Stichodactyla_haddoni,91.7,90.1,1.6,2.4,5.9
Stichodactyla_mertensi,91.6,89.9,1.7,3,5.4