Animal,Tissue,SRA,Class:Order,Study
Actinia_tenebrosa,mesentries,SRR4677518,Anthozoa:Actinaria,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA350366
Actinia_tenebrosa,mesentries,SRR4677488,Anthozoa:Actinaria,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA350366
Actinia_tenebrosa,mesentries,SRR4677492,Anthozoa:Actinaria,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA350366
Actinia_tenebrosa,tentacle,SRR4677515,Anthozoa:Actinaria,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA350366
Actinia_tenebrosa,tentacle,SRR4677512,Anthozoa:Actinaria,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA350366
Actinia_tenebrosa,tentacle,SRR4677507,Anthozoa:Actinaria,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA350366
Actinia_tenebrosa,tentacle,SRR4677522,Anthozoa:Actinaria,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA350366
Actinia_tenebrosa,tentacle,SRR4677502,Anthozoa:Actinaria,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA350366
Actinia_tenebrosa,tentacle,SRR4677495,Anthozoa:Actinaria,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA350366
Anthopleura_dowii,tentacle,SRR3932753,Anthozoa:Actinaria,https://www.ncbi.nlm.nih.gov/sra/?term=PRJNA329297
Chironex_fleckeri,tentacle,"SRR1819888	",Cubozoa:Chirodropida,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4445812/
Chrysaora_fuscescens,tentacle,SRR3180892,Scyphozoa:Semaeostomeae,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4848628/
Cyanea_capillata,tentacle,SRR1930118,Scyphozoa:Semaeostomeae,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4638339/
Galaxea_fascicularis,body_column,SRR12053381,Anthozoa:Scleractinia,https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA640524/
Galaxea_fascicularis,body_column,SRR12053383,Anthozoa:Scleractinia,https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA640524/
Galaxea_fascicularis,body_column,SRR12053384,Anthozoa:Scleractinia,https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA640524/
Galaxea_fascicularis,tentacle_catch,SRR12053377,Anthozoa:Scleractinia,https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA640524/
Galaxea_fascicularis,tentacle_catch,SRR12053378,Anthozoa:Scleractinia,https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA640524/
Galaxea_fascicularis,tentacle_catch,SRR12053379,Anthozoa:Scleractinia,https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA640524/
Galaxea_fascicularis,tentacle_sweeper,SRR12053374,Anthozoa:Scleractinia,https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA640524/
Galaxea_fascicularis,tentacle_sweeper,SRR12053375,Anthozoa:Scleractinia,https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA640524/
Galaxea_fascicularis,tentacle_sweeper,SRR12053376,Anthozoa:Scleractinia,https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA640524/
Heterodactyla_hemprichii,body_column,SRR14115229,Anthozoa:Actinaria,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA715506/
Heterodactyla_hemprichii,nematospheres,SRR14115226,Anthozoa:Actinaria,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA715506/
Heterodactyla_hemprichii,tentacle_exocoelic,SRR14115227,Anthozoa:Actinaria,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA715506/
Heterodactyla_hemprichii,tentacle_exocoelic,SRR14115228,Anthozoa:Actinaria,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA715506/
Hydra_vulgaris,body_column,SRR8644105,Hydrozoa:Anthoathecata,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA524655/
Hydra_vulgaris,body_column,SRR8644104,Hydrozoa:Anthoathecata,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA524655/
Hydra_vulgaris,body_column,SRR8089746,Hydrozoa:Anthoathecata,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA497966/
Hydra_vulgaris,tentacle,SRR8644113,Hydrozoa:Anthoathecata,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA524655/
Hydra_vulgaris,tentacle,SRR8644112,Hydrozoa:Anthoathecata,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA524655/
Hydra_vulgaris,tentacle,SRR8089748,Hydrozoa:Anthoathecata,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA497966/
Macrodactyla_doreensis,tentacle_inner,SRR14115224,Anthozoa:Actinaria,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA715506/
Macrodactyla_doreensis,tentacle_inner,SRR14115225,Anthozoa:Actinaria,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA715506/
Macrodactyla_doreensis,tentacle_outer,SRR14115222,Anthozoa:Actinaria,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA715506/
Macrodactyla_doreensis,tentacle_outer,SRR14115223,Anthozoa:Actinaria,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA715506/
Nematostella_vectensis,mesentries,ERR1368847,Anthozoa:Actinaria,https://pubmed.ncbi.nlm.nih.gov/27216622/
Nematostella_vectensis,mesentries,ERR1368846,Anthozoa:Actinaria,https://pubmed.ncbi.nlm.nih.gov/27216622/
Nematostella_vectensis,mesentries,ERR1368852,Anthozoa:Actinaria,https://pubmed.ncbi.nlm.nih.gov/27216622/
Nematostella_vectensis,nematosomes,ERR1368849,Anthozoa:Actinaria,https://pubmed.ncbi.nlm.nih.gov/27216622/
Nematostella_vectensis,nematosomes,ERR1368848,Anthozoa:Actinaria,https://pubmed.ncbi.nlm.nih.gov/27216622/
Nematostella_vectensis,nematosomes,ERR1368845,Anthozoa:Actinaria,https://pubmed.ncbi.nlm.nih.gov/27216622/
Nematostella_vectensis,tentacle,ERR1368838,Anthozoa:Actinaria,https://pubmed.ncbi.nlm.nih.gov/27216622/
Nematostella_vectensis,tentacle,ERR1368850,Anthozoa:Actinaria,https://pubmed.ncbi.nlm.nih.gov/27216622/
Nematostella_vectensis,tentacle,ERR1368851,Anthozoa:Actinaria,https://pubmed.ncbi.nlm.nih.gov/27216622/
Nemopilema_nomurai,tentacle,SRR6298212,Scyphozoa:Rhizostomatidae,https://www.ncbi.nlm.nih.gov/sra/?term=SRA627560/
Oulactis_sp,tentacle,ERR2710216,Anthozoa:Actinaria,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB27893/
Oulactis_sp,tentacle,ERR2710215,Anthozoa:Actinaria,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB27893/
Oulactis_sp,tentacle,ERR2710214,Anthozoa:Actinaria,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB27893/
Sanderia_malayensis,tentacle,SRR6298216,Scyphozoa:Semaeostomeae,https://www.ncbi.nlm.nih.gov/sra/?term=SRA627560/