Species,Total_overlap between all species
Stichodactyla_haddoni_longest_pep,220380
Stichidactyla_gigantea_longest_pep,218776
Heteractic_macgnifica_longest_pep,218627
Heteractis_crispa_longest_pep,218036
Stichodactyla_mertensi_longest_pep,215888
Heteractis_aurelias_longest_pep,215670
Entacmea_quadricolor_longest_pep,215152
Heterodactyla_longest_pep,205731
Macrodactyla_doreensis_longest_pep,198592
Oulactis_longest_pep,196178
Actinia_tenebrosa_longest_pep,191469
Galaxea_fascicularis_longest_pep,190968
Anthopleura_dowii_longest_pep,176011
Nematostella_vectensis_longest_pep,170999
Nemopilema_nomurai_longest_pep,148228
Hydra_vulgaris_longest_pep,142869
Sanderia_malayensis_longest_pep,140792
Cyanea_capillata_longest_pep,133604
Chironex_fleckeri_longest_pep,130916
Chrysaora_fuscescens_longest_pep,122295